"Season","Half","Conference","Division","Team_ID","Team_Name","Playoffs","GP","W","L","OL","T","PTS","PTS_Pct","GF","GA","SRS","SOS","RPt_Pct","ROW","RW","RgRec","RgPt_Pct"
1992,NA,"Prince of Wales","Patrick","NYI","New York Islanders",FALSE,"80","34","35",NA,"11","79",".494","291","299","0.04","0.14",NA,NA,NA,NA,NA
1992,NA,"Prince of Wales","Patrick","PHI","Philadelphia Flyers",FALSE,"80","32","37",NA,"11","75",".469","252","273","-0.13","0.13",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Norris","CHI","Chicago Blackhawks",TRUE,"84","47","25",NA,"12","106",".631","279","230","0.58","-0.01",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Norris","DET","Detroit Red Wings",TRUE,"84","47","28",NA,"9","103",".613","369","280","0.99","-0.07",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Norris","TOR","Toronto Maple Leafs",TRUE,"84","44","29",NA,"11","99",".589","288","241","0.47","-0.09",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Norris","STL","St. Louis Blues",TRUE,"84","37","36",NA,"11","85",".506","282","278","0.06","0.01",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Norris","MNS","Minnesota North Stars",FALSE,"84","36","38",NA,"10","82",".488","272","293","-0.21","0.04",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Norris","TBL","Tampa Bay Lightning",FALSE,"84","23","54",NA,"7","53",".315","245","332","-0.96","0.08",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Smythe","VAN","Vancouver Canucks",TRUE,"84","46","29",NA,"9","101",".601","346","278","0.60","-0.21",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Smythe","CGY","Calgary Flames",TRUE,"84","43","30",NA,"11","97",".577","322","282","0.25","-0.22",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Smythe","LAK","Los Angeles Kings",TRUE,"84","39","35",NA,"10","88",".524","338","340","-0.13","-0.10",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Smythe","WIN","Winnipeg Jets",TRUE,"84","40","37",NA,"7","87",".518","322","320","-0.20","-0.23",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Smythe","WPG","Winnipeg Jets",TRUE,"84","40","37",NA,"7","87",".518","322","320","-0.20","-0.23",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Smythe","EDM","Edmonton Oilers",FALSE,"84","26","50",NA,"8","60",".357","242","337","-1.19","-0.06",NA,NA,NA,NA,NA
1993,NA,"Clarence Campbell","Smythe","SJS","San Jose Sharks",FALSE,"84","11","71",NA,"2","24",".143","218","414","-2.29","0.05",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Adams","BOS","Boston Bruins",TRUE,"84","51","26",NA,"7","109",".649","332","268","0.74","-0.03",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Adams","QUE","Quebec Nordiques",TRUE,"84","47","27",NA,"10","104",".619","351","300","0.50","-0.11",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Adams","MTL","Montreal Canadiens",TRUE,"84","48","30",NA,"6","102",".607","326","280","0.49","-0.06",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Adams","BUF","Buffalo Sabres",TRUE,"84","38","36",NA,"10","86",".512","335","297","0.41","-0.04",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Adams","HAR","Hartford Whalers",FALSE,"84","26","52",NA,"6","58",".345","284","369","-0.93","0.08",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Adams","OTS","Ottawa Senators",FALSE,"84","10","70",NA,"4","24",".143","202","395","-2.10","0.20",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Adams","OTT","Ottawa Senators",FALSE,"84","10","70",NA,"4","24",".143","202","395","-2.10","0.20",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Patrick","PIT","Pittsburgh Penguins",TRUE,"84","56","21",NA,"7","119",".708","367","268","1.23","0.05",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Patrick","WSH","Washington Capitals",TRUE,"84","43","34",NA,"7","93",".554","325","286","0.57","0.11",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Patrick","NYI","New York Islanders",TRUE,"84","40","37",NA,"7","87",".518","335","297","0.56","0.11",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Patrick","NJD","New Jersey Devils",TRUE,"84","40","37",NA,"7","87",".518","308","299","0.26","0.15",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Patrick","PHI","Philadelphia Flyers",FALSE,"84","36","37",NA,"11","83",".494","319","319","0.20","0.20",NA,NA,NA,NA,NA
1993,NA,"Prince of Wales","Patrick","NYR","New York Rangers",FALSE,"84","34","39",NA,"11","79",".470","304","308","0.10","0.15",NA,NA,NA,NA,NA
1994,NA,"Eastern","Atlantic","NYR","New York Rangers",TRUE,"84","52","24",NA,"8","112",".667","299","231","0.81","0.00",NA,NA,NA,NA,NA
1994,NA,"Eastern","Atlantic","NJD","New Jersey Devils",TRUE,"84","47","25",NA,"12","106",".631","306","220","1.01","-0.02",NA,NA,NA,NA,NA
1994,NA,"Eastern","Atlantic","WSH","Washington Capitals",TRUE,"84","39","35",NA,"10","88",".524","277","263","0.20","0.03",NA,NA,NA,NA,NA
1994,NA,"Eastern","Atlantic","NYI","New York Islanders",TRUE,"84","36","36",NA,"12","84",".500","282","264","0.25","0.03",NA,NA,NA,NA,NA
1994,NA,"Eastern","Atlantic","FLA","Florida Panthers",FALSE,"84","33","34",NA,"17","83",".494","233","233","0.02","0.02",NA,NA,NA,NA,NA
1994,NA,"Eastern","Atlantic","PHI","Philadelphia Flyers",FALSE,"84","35","39",NA,"10","80",".476","294","314","-0.19","0.05",NA,NA,NA,NA,NA
1994,NA,"Eastern","Atlantic","TBL","Tampa Bay Lightning",FALSE,"84","30","43",NA,"11","71",".423","224","251","-0.26","0.06",NA,NA,NA,NA,NA
1994,NA,"Eastern","Northeast","PIT","Pittsburgh Penguins",TRUE,"84","44","27",NA,"13","101",".601","299","285","0.17","0.00",NA,NA,NA,NA,NA
1994,NA,"Eastern","Northeast","BOS","Boston Bruins",TRUE,"84","42","29",NA,"13","97",".577","289","252","0.41","-0.03",NA,NA,NA,NA,NA
1994,NA,"Eastern","Northeast","MTL","Montreal Canadiens",TRUE,"84","41","29",NA,"14","96",".571","283","248","0.39","-0.03",NA,NA,NA,NA,NA
1994,NA,"Eastern","Northeast","BUF","Buffalo Sabres",TRUE,"84","43","32",NA,"9","95",".565","282","218","0.72","-0.04",NA,NA,NA,NA,NA
1994,NA,"Eastern","Northeast","QUE","Quebec Nordiques",FALSE,"84","34","42",NA,"8","76",".452","277","292","-0.16","0.02",NA,NA,NA,NA,NA
1994,NA,"Eastern","Northeast","HAR","Hartford Whalers",FALSE,"84","27","48",NA,"9","63",".375","227","288","-0.68","0.04",NA,NA,NA,NA,NA
1994,NA,"Eastern","Northeast","OTS","Ottawa Senators",FALSE,"84","14","61",NA,"9","37",".220","201","397","-2.22","0.12",NA,NA,NA,NA,NA
1994,NA,"Eastern","Northeast","OTT","Ottawa Senators",FALSE,"84","14","61",NA,"9","37",".220","201","397","-2.22","0.12",NA,NA,NA,NA,NA
1994,NA,"Western","Central","DET","Detroit Red Wings",TRUE,"84","46","30",NA,"8","100",".595","356","275","0.89","-0.08",NA,NA,NA,NA,NA
1994,NA,"Western","Central","TOR","Toronto Maple Leafs",TRUE,"84","43","29",NA,"12","98",".583","280","243","0.41","-0.03",NA,NA,NA,NA,NA
1994,NA,"Western","Central","DAL","Dallas Stars",TRUE,"84","42","29",NA,"13","97",".577","286","265","0.20","-0.05",NA,NA,NA,NA,NA
1994,NA,"Western","Central","STL","St. Louis Blues",TRUE,"84","40","33",NA,"11","91",".542","270","283","-0.16","0.00",NA,NA,NA,NA,NA
1994,NA,"Western","Central","CHI","Chicago Blackhawks",TRUE,"84","39","36",NA,"9","87",".518","254","240","0.15","-0.02",NA,NA,NA,NA,NA
1994,NA,"Western","Central","WIN","Winnipeg Jets",FALSE,"84","24","51",NA,"9","57",".339","245","344","-1.13","0.05",NA,NA,NA,NA,NA
1994,NA,"Western","Central","WPG","Winnipeg Jets",FALSE,"84","24","51",NA,"9","57",".339","245","344","-1.13","0.05",NA,NA,NA,NA,NA
1994,NA,"Western","Pacific","CGY","Calgary Flames",TRUE,"84","42","29",NA,"13","97",".577","302","256","0.48","-0.07",NA,NA,NA,NA,NA
1994,NA,"Western","Pacific","VAN","Vancouver Canucks",TRUE,"84","41","40",NA,"3","85",".506","279","276","0.01","-0.03",NA,NA,NA,NA,NA
1994,NA,"Western","Pacific","SJS","San Jose Sharks",TRUE,"84","33","35",NA,"16","82",".488","252","265","-0.17","-0.02",NA,NA,NA,NA,NA
1994,NA,"Western","Pacific","MDA","Mighty Ducks of Anaheim",FALSE,"84","33","46",NA,"5","71",".423","229","251","-0.27","-0.01",NA,NA,NA,NA,NA
1994,NA,"Western","Pacific","LAK","Los Angeles Kings",FALSE,"84","27","45",NA,"12","66",".393","294","322","-0.34","-0.01",NA,NA,NA,NA,NA
1994,NA,"Western","Pacific","EDM","Edmonton Oilers",FALSE,"84","25","45",NA,"14","64",".381","261","305","-0.52","0.00",NA,NA,NA,NA,NA
1995,NA,"Eastern","Atlantic","PHI","Philadelphia Flyers",TRUE,"48","28","16",NA,"4","60",".625","150","132","0.36","-0.01",NA,NA,NA,NA,NA
1995,NA,"Eastern","Atlantic","NJD","New Jersey Devils",TRUE,"48","22","18",NA,"8","52",".542","136","121","0.30","-0.01",NA,NA,NA,NA,NA
1995,NA,"Eastern","Atlantic","WSH","Washington Capitals",TRUE,"48","22","18",NA,"8","52",".542","136","120","0.33","-0.01",NA,NA,NA,NA,NA
1995,NA,"Eastern","Atlantic","NYR","New York Rangers",TRUE,"48","22","23",NA,"3","47",".490","139","134","0.10","-0.01",NA,NA,NA,NA,NA
1995,NA,"Eastern","Atlantic","FLA","Florida Panthers",FALSE,"48","20","22",NA,"6","46",".479","115","127","-0.26","-0.01",NA,NA,NA,NA,NA
1995,NA,"Eastern","Atlantic","TBL","Tampa Bay Lightning",FALSE,"48","17","28",NA,"3","37",".385","120","144","-0.49","0.01",NA,NA,NA,NA,NA
1995,NA,"Eastern","Atlantic","NYI","New York Islanders",FALSE,"48","15","28",NA,"5","35",".365","126","158","-0.63","0.04",NA,NA,NA,NA,NA
1995,NA,"Eastern","Northeast","QUE","Quebec Nordiques",TRUE,"48","30","13",NA,"5","65",".677","185","134","1.01","-0.06",NA,NA,NA,NA,NA
1995,NA,"Eastern","Northeast","PIT","Pittsburgh Penguins",TRUE,"48","29","16",NA,"3","61",".635","181","158","0.44","-0.04",NA,NA,NA,NA,NA
1995,NA,"Eastern","Northeast","BOS","Boston Bruins",TRUE,"48","27","18",NA,"3","57",".594","150","127","0.46","-0.02",NA,NA,NA,NA,NA
1995,NA,"Eastern","Northeast","BUF","Buffalo Sabres",TRUE,"48","22","19",NA,"7","51",".531","130","119","0.20","-0.03",NA,NA,NA,NA,NA
1995,NA,"Eastern","Northeast","HAR","Hartford Whalers",FALSE,"48","19","24",NA,"5","43",".448","127","141","-0.27","0.02",NA,NA,NA,NA,NA
1995,NA,"Eastern","Northeast","MTL","Montreal Canadiens",FALSE,"48","18","23",NA,"7","43",".448","125","148","-0.42","0.06",NA,NA,NA,NA,NA
1995,NA,"Eastern","Northeast","OTS","Ottawa Senators",FALSE,"48","9","34",NA,"5","23",".240","117","174","-1.12","0.07",NA,NA,NA,NA,NA
1995,NA,"Eastern","Northeast","OTT","Ottawa Senators",FALSE,"48","9","34",NA,"5","23",".240","117","174","-1.12","0.07",NA,NA,NA,NA,NA
1995,NA,"Western","Central","DET","Detroit Red Wings",TRUE,"48","33","11",NA,"4","70",".729","180","117","1.24","-0.08",NA,NA,NA,NA,NA
1995,NA,"Western","Central","STL","St. Louis Blues",TRUE,"48","28","15",NA,"5","61",".635","178","135","0.84","-0.06",NA,NA,NA,NA,NA
1995,NA,"Western","Central","CHI","Chicago Blackhawks",TRUE,"48","24","19",NA,"5","53",".552","156","115","0.80","-0.05",NA,NA,NA,NA,NA
1995,NA,"Western","Central","TOR","Toronto Maple Leafs",TRUE,"48","21","19",NA,"8","50",".521","135","146","-0.19","0.04",NA,NA,NA,NA,NA
1995,NA,"Western","Central","DAL","Dallas Stars",TRUE,"48","17","23",NA,"8","42",".438","136","135","0.07","0.05",NA,NA,NA,NA,NA
1995,NA,"Western","Central","WIN","Winnipeg Jets",FALSE,"48","16","25",NA,"7","39",".406","157","177","-0.33","0.08",NA,NA,NA,NA,NA
1995,NA,"Western","Central","WPG","Winnipeg Jets",FALSE,"48","16","25",NA,"7","39",".406","157","177","-0.33","0.08",NA,NA,NA,NA,NA
1995,NA,"Western","Pacific","CGY","Calgary Flames",TRUE,"48","24","17",NA,"7","55",".573","163","135","0.49","-0.09",NA,NA,NA,NA,NA
1995,NA,"Western","Pacific","VAN","Vancouver Canucks",TRUE,"48","18","18",NA,"12","48",".500","153","148","0.06","-0.04",NA,NA,NA,NA,NA
1995,NA,"Western","Pacific","SJS","San Jose Sharks",TRUE,"48","19","25",NA,"4","42",".438","129","161","-0.66","0.01",NA,NA,NA,NA,NA
1995,NA,"Western","Pacific","LAK","Los Angeles Kings",FALSE,"48","16","23",NA,"9","41",".427","142","174","-0.65","0.02",NA,NA,NA,NA,NA
1995,NA,"Western","Pacific","EDM","Edmonton Oilers",FALSE,"48","17","27",NA,"4","38",".396","136","183","-0.92","0.06",NA,NA,NA,NA,NA
1995,NA,"Western","Pacific","MDA","Mighty Ducks of Anaheim",FALSE,"48","16","27",NA,"5","37",".385","125","164","-0.77","0.05",NA,NA,NA,NA,NA
1996,NA,"Eastern","Atlantic","PHI","Philadelphia Flyers",TRUE,"82","45","24",NA,"13","103",".628","282","208","0.88","-0.03",NA,NA,NA,NA,NA
1996,NA,"Eastern","Atlantic","NYR","New York Rangers",TRUE,"82","41","27",NA,"14","96",".585","272","237","0.43","0.00",NA,NA,NA,NA,NA
1996,NA,"Eastern","Atlantic","FLA","Florida Panthers",TRUE,"82","41","31",NA,"10","92",".561","254","234","0.27","0.02",NA,NA,NA,NA,NA
1996,NA,"Eastern","Atlantic","WSH","Washington Capitals",TRUE,"82","39","32",NA,"11","89",".543","234","204","0.38","0.02",NA,NA,NA,NA,NA
1996,NA,"Eastern","Atlantic","TBL","Tampa Bay Lightning",TRUE,"82","38","32",NA,"12","88",".537","238","248","-0.07","0.05",NA,NA,NA,NA,NA
1996,NA,"Eastern","Atlantic","NJD","New Jersey Devils",FALSE,"82","37","33",NA,"12","86",".524","215","202","0.20","0.04",NA,NA,NA,NA,NA
1996,NA,"Eastern","Atlantic","NYI","New York Islanders",FALSE,"82","22","50",NA,"10","54",".329","229","315","-0.94","0.11",NA,NA,NA,NA,NA
1996,NA,"Eastern","Northeast","PIT","Pittsburgh Penguins",TRUE,"82","49","29",NA,"4","102",".622","362","284","0.90","-0.05",NA,NA,NA,NA,NA
1996,NA,"Eastern","Northeast","BOS","Boston Bruins",TRUE,"82","40","31",NA,"11","91",".555","282","269","0.17","0.01",NA,NA,NA,NA,NA
1996,NA,"Eastern","Northeast","MTL","Montreal Canadiens",TRUE,"82","40","32",NA,"10","90",".549","265","248","0.20","-0.01",NA,NA,NA,NA,NA
1996,NA,"Eastern","Northeast","HAR","Hartford Whalers",FALSE,"82","34","39",NA,"9","77",".470","237","259","-0.22","0.05",NA,NA,NA,NA,NA
1996,NA,"Eastern","Northeast","BUF","Buffalo Sabres",FALSE,"82","33","42",NA,"7","73",".445","247","262","-0.16","0.03",NA,NA,NA,NA,NA
1996,NA,"Eastern","Northeast","OTS","Ottawa Senators",FALSE,"82","18","59",NA,"5","41",".250","191","291","-1.12","0.10",NA,NA,NA,NA,NA
1996,NA,"Eastern","Northeast","OTT","Ottawa Senators",FALSE,"82","18","59",NA,"5","41",".250","191","291","-1.12","0.10",NA,NA,NA,NA,NA
1996,NA,"Western","Central","DET","Detroit Red Wings",TRUE,"82","62","13",NA,"7","131",".799","325","181","1.64","-0.11",NA,NA,NA,NA,NA
1996,NA,"Western","Central","CHI","Chicago Blackhawks",TRUE,"82","40","28",NA,"14","94",".573","273","220","0.61","-0.04",NA,NA,NA,NA,NA
1996,NA,"Western","Central","TOR","Toronto Maple Leafs",TRUE,"82","34","36",NA,"12","80",".488","247","252","-0.07","0.00",NA,NA,NA,NA,NA
1996,NA,"Western","Central","STL","St. Louis Blues",TRUE,"82","32","34",NA,"16","80",".488","219","248","-0.35","0.00",NA,NA,NA,NA,NA
1996,NA,"Western","Central","WIN","Winnipeg Jets",TRUE,"82","36","40",NA,"6","78",".476","275","291","-0.18","0.02",NA,NA,NA,NA,NA
1996,NA,"Western","Central","WPG","Winnipeg Jets",TRUE,"82","36","40",NA,"6","78",".476","275","291","-0.18","0.02",NA,NA,NA,NA,NA
1996,NA,"Western","Central","DAL","Dallas Stars",FALSE,"82","26","42",NA,"14","66",".402","227","280","-0.60","0.05",NA,NA,NA,NA,NA
1996,NA,"Western","Pacific","COL","Colorado Avalanche",TRUE,"82","47","25",NA,"10","104",".634","326","240","0.93","-0.12",NA,NA,NA,NA,NA
1996,NA,"Western","Pacific","CGY","Calgary Flames",TRUE,"82","34","37",NA,"11","79",".482","241","240","-0.04","-0.05",NA,NA,NA,NA,NA
1996,NA,"Western","Pacific","VAN","Vancouver Canucks",TRUE,"82","32","35",NA,"15","79",".482","278","278","-0.05","-0.05",NA,NA,NA,NA,NA
1996,NA,"Western","Pacific","MDA","Mighty Ducks of Anaheim",FALSE,"82","35","39",NA,"8","78",".476","234","247","-0.19","-0.03",NA,NA,NA,NA,NA
1996,NA,"Western","Pacific","EDM","Edmonton Oilers",FALSE,"82","30","44",NA,"8","68",".415","240","304","-0.78","0.00",NA,NA,NA,NA,NA
1996,NA,"Western","Pacific","LAK","Los Angeles Kings",FALSE,"82","24","40",NA,"18","66",".402","256","302","-0.59","-0.03",NA,NA,NA,NA,NA
1996,NA,"Western","Pacific","SJS","San Jose Sharks",FALSE,"82","20","55",NA,"7","47",".287","252","357","-1.25","0.03",NA,NA,NA,NA,NA
1997,NA,"Eastern","Atlantic","NJD","New Jersey Devils",TRUE,"82","45","23",NA,"14","104",".634","231","182","0.57","-0.03",NA,NA,NA,NA,NA
1997,NA,"Eastern","Atlantic","PHI","Philadelphia Flyers",TRUE,"82","45","24",NA,"13","103",".628","274","217","0.67","-0.03",NA,NA,NA,NA,NA
1997,NA,"Eastern","Atlantic","FLA","Florida Panthers",TRUE,"82","35","28",NA,"19","89",".543","221","201","0.25","0.00",NA,NA,NA,NA,NA
1997,NA,"Eastern","Atlantic","NYR","New York Rangers",TRUE,"82","38","34",NA,"10","86",".524","258","231","0.33","0.01",NA,NA,NA,NA,NA
1997,NA,"Eastern","Atlantic","WSH","Washington Capitals",FALSE,"82","33","40",NA,"9","75",".457","214","231","-0.17","0.04",NA,NA,NA,NA,NA
1997,NA,"Eastern","Atlantic","TBL","Tampa Bay Lightning",FALSE,"82","32","40",NA,"10","74",".451","217","247","-0.33","0.04",NA,NA,NA,NA,NA
1997,NA,"Eastern","Atlantic","NYI","New York Islanders",FALSE,"82","29","41",NA,"12","70",".427","240","250","-0.10","0.02",NA,NA,NA,NA,NA
1997,NA,"Eastern","Northeast","BUF","Buffalo Sabres",TRUE,"82","40","30",NA,"12","92",".561","237","208","0.31","-0.04",NA,NA,NA,NA,NA
1997,NA,"Eastern","Northeast","PIT","Pittsburgh Penguins",TRUE,"82","38","36",NA,"8","84",".512","285","280","0.04","-0.02",NA,NA,NA,NA,NA
1997,NA,"Eastern","Northeast","MTL","Montreal Canadiens",TRUE,"82","31","36",NA,"15","77",".470","249","276","-0.34","-0.01",NA,NA,NA,NA,NA
1997,NA,"Eastern","Northeast","OTS","Ottawa Senators",TRUE,"82","31","36",NA,"15","77",".470","226","234","-0.11","-0.02",NA,NA,NA,NA,NA
1997,NA,"Eastern","Northeast","OTT","Ottawa Senators",TRUE,"82","31","36",NA,"15","77",".470","226","234","-0.11","-0.02",NA,NA,NA,NA,NA
1997,NA,"Eastern","Northeast","HAR","Hartford Whalers",FALSE,"82","32","39",NA,"11","75",".457","226","256","-0.37","0.00",NA,NA,NA,NA,NA
1997,NA,"Eastern","Northeast","BOS","Boston Bruins",FALSE,"82","26","47",NA,"9","61",".372","234","300","-0.78","0.02",NA,NA,NA,NA,NA
1997,NA,"Western","Central","DAL","Dallas Stars",TRUE,"82","48","26",NA,"8","104",".634","252","198","0.64","-0.02",NA,NA,NA,NA,NA
1997,NA,"Western","Central","DET","Detroit Red Wings",TRUE,"82","38","26",NA,"18","94",".573","253","197","0.66","-0.03",NA,NA,NA,NA,NA
1997,NA,"Western","Central","PHX","Phoenix Coyotes",TRUE,"82","38","37",NA,"7","83",".506","240","243","-0.02","0.02",NA,NA,NA,NA,NA
1997,NA,"Western","Central","STL","St. Louis Blues",TRUE,"82","36","35",NA,"11","83",".506","236","239","-0.03","0.01",NA,NA,NA,NA,NA
1997,NA,"Western","Central","CHI","Chicago Blackhawks",TRUE,"82","34","35",NA,"13","81",".494","223","210","0.18","0.02",NA,NA,NA,NA,NA
1997,NA,"Western","Central","TOR","Toronto Maple Leafs",FALSE,"82","30","44",NA,"8","68",".415","230","273","-0.48","0.05",NA,NA,NA,NA,NA
1997,NA,"Western","Pacific","COL","Colorado Avalanche",TRUE,"82","49","24",NA,"9","107",".652","277","205","0.81","-0.07",NA,NA,NA,NA,NA
1997,NA,"Western","Pacific","MDA","Mighty Ducks of Anaheim",TRUE,"82","36","33",NA,"13","85",".518","245","233","0.12","-0.03",NA,NA,NA,NA,NA
1997,NA,"Western","Pacific","EDM","Edmonton Oilers",TRUE,"82","36","37",NA,"9","81",".494","252","247","0.03","-0.03",NA,NA,NA,NA,NA
1997,NA,"Western","Pacific","VAN","Vancouver Canucks",FALSE,"82","35","40",NA,"7","77",".470","257","273","-0.20","-0.01",NA,NA,NA,NA,NA
1997,NA,"Western","Pacific","CGY","Calgary Flames",FALSE,"82","32","41",NA,"9","73",".445","214","239","-0.29","0.02",NA,NA,NA,NA,NA
1997,NA,"Western","Pacific","LAK","Los Angeles Kings",FALSE,"82","28","43",NA,"11","67",".409","214","268","-0.62","0.04",NA,NA,NA,NA,NA
1997,NA,"Western","Pacific","SJS","San Jose Sharks",FALSE,"82","27","47",NA,"8","62",".378","211","278","-0.78","0.03",NA,NA,NA,NA,NA
1998,NA,"Eastern","Atlantic","NJD","New Jersey Devils",TRUE,"82","48","23",NA,"11","107",".652","225","166","0.66","-0.06",NA,NA,NA,NA,NA
1998,NA,"Eastern","Atlantic","PHI","Philadelphia Flyers",TRUE,"82","42","29",NA,"11","95",".579","242","193","0.53","-0.07",NA,NA,NA,NA,NA
1998,NA,"Eastern","Atlantic","WSH","Washington Capitals",TRUE,"82","40","30",NA,"12","92",".561","219","202","0.17","-0.04",NA,NA,NA,NA,NA
1998,NA,"Eastern","Atlantic","NYI","New York Islanders",FALSE,"82","30","41",NA,"11","71",".433","212","225","-0.15","0.00",NA,NA,NA,NA,NA
1998,NA,"Eastern","Atlantic","NYR","New York Rangers",FALSE,"82","25","39",NA,"18","68",".415","197","231","-0.41","0.00",NA,NA,NA,NA,NA
1998,NA,"Eastern","Atlantic","FLA","Florida Panthers",FALSE,"82","24","43",NA,"15","63",".384","203","256","-0.62","0.03",NA,NA,NA,NA,NA
1998,NA,"Eastern","Atlantic","TBL","Tampa Bay Lightning",FALSE,"82","17","55",NA,"10","44",".268","151","269","-1.37","0.07",NA,NA,NA,NA,NA
1998,NA,"Eastern","Northeast","PIT","Pittsburgh Penguins",TRUE,"82","40","24",NA,"18","98",".598","228","188","0.48","-0.01",NA,NA,NA,NA,NA
1998,NA,"Eastern","Northeast","BOS","Boston Bruins",TRUE,"82","39","30",NA,"13","91",".555","221","194","0.33","0.00",NA,NA,NA,NA,NA
1998,NA,"Eastern","Northeast","BUF","Buffalo Sabres",TRUE,"82","36","29",NA,"17","89",".543","211","187","0.29","0.00",NA,NA,NA,NA,NA
1998,NA,"Eastern","Northeast","MTL","Montreal Canadiens",TRUE,"82","37","32",NA,"13","87",".530","235","208","0.33","0.00",NA,NA,NA,NA,NA
1998,NA,"Eastern","Northeast","OTS","Ottawa Senators",TRUE,"82","34","33",NA,"15","83",".506","193","200","-0.06","0.02",NA,NA,NA,NA,NA
1998,NA,"Eastern","Northeast","OTT","Ottawa Senators",TRUE,"82","34","33",NA,"15","83",".506","193","200","-0.06","0.02",NA,NA,NA,NA,NA
1998,NA,"Eastern","Northeast","CAR","Carolina Hurricanes",FALSE,"82","33","41",NA,"8","74",".451","200","219","-0.20","0.04",NA,NA,NA,NA,NA
1998,NA,"Western","Central","DAL","Dallas Stars",TRUE,"82","49","22",NA,"11","109",".665","242","167","0.88","-0.03",NA,NA,NA,NA,NA
1998,NA,"Western","Central","DET","Detroit Red Wings",TRUE,"82","44","23",NA,"15","103",".628","250","196","0.64","-0.02",NA,NA,NA,NA,NA
1998,NA,"Western","Central","STL","St. Louis Blues",TRUE,"82","45","29",NA,"8","98",".598","256","204","0.63","0.00",NA,NA,NA,NA,NA
1998,NA,"Western","Central","PHX","Phoenix Coyotes",TRUE,"82","35","35",NA,"12","82",".500","224","227","0.00","0.04",NA,NA,NA,NA,NA
1998,NA,"Western","Central","CHI","Chicago Blackhawks",FALSE,"82","30","39",NA,"13","73",".445","192","199","-0.06","0.03",NA,NA,NA,NA,NA
1998,NA,"Western","Central","TOR","Toronto Maple Leafs",FALSE,"82","30","43",NA,"9","69",".421","194","237","-0.46","0.07",NA,NA,NA,NA,NA
1998,NA,"Western","Pacific","COL","Colorado Avalanche",TRUE,"82","39","26",NA,"17","95",".579","231","205","0.27","-0.05",NA,NA,NA,NA,NA
1998,NA,"Western","Pacific","LAK","Los Angeles Kings",TRUE,"82","38","33",NA,"11","87",".530","227","225","-0.01","-0.03",NA,NA,NA,NA,NA
1998,NA,"Western","Pacific","EDM","Edmonton Oilers",TRUE,"82","35","37",NA,"10","80",".488","215","224","-0.13","-0.02",NA,NA,NA,NA,NA
1998,NA,"Western","Pacific","SJS","San Jose Sharks",TRUE,"82","34","38",NA,"10","78",".476","210","216","-0.10","-0.03",NA,NA,NA,NA,NA
1998,NA,"Western","Pacific","CGY","Calgary Flames",FALSE,"82","26","41",NA,"15","67",".409","217","252","-0.42","0.01",NA,NA,NA,NA,NA
1998,NA,"Western","Pacific","MDA","Mighty Ducks of Anaheim",FALSE,"82","26","43",NA,"13","65",".396","205","261","-0.66","0.02",NA,NA,NA,NA,NA
1998,NA,"Western","Pacific","VAN","Vancouver Canucks",FALSE,"82","25","43",NA,"14","64",".390","224","273","-0.58","0.02",NA,NA,NA,NA,NA
1999,NA,"Eastern","Atlantic","NJD","New Jersey Devils",TRUE,"82","47","24",NA,"11","105",".640","248","196","0.62","-0.02",NA,NA,NA,NA,NA
1999,NA,"Eastern","Atlantic","PHI","Philadelphia Flyers",TRUE,"82","37","26",NA,"19","93",".567","231","196","0.43","0.00",NA,NA,NA,NA,NA
1999,NA,"Eastern","Atlantic","PIT","Pittsburgh Penguins",TRUE,"82","38","30",NA,"14","90",".549","242","225","0.21","0.00",NA,NA,NA,NA,NA
1999,NA,"Eastern","Atlantic","NYR","New York Rangers",FALSE,"82","33","38",NA,"11","77",".470","217","227","-0.08","0.04",NA,NA,NA,NA,NA
1999,NA,"Eastern","Atlantic","NYI","New York Islanders",FALSE,"82","24","48",NA,"10","58",".354","194","244","-0.55","0.06",NA,NA,NA,NA,NA
